round_id,round_name,year_id,year,stage
12743,Second Round Proper,75769,2014,8
12742,First Round Proper,75769,2014,7
12741,Fourth Round Qualifying,75769,2014,6
12740,Third Round Qualifying,75769,2014,5
12739,Second Round Qualifying,75769,2014,4
12738,First Round Qualifying,75769,2014,3
12737,Preliminary Round,75769,2014,2
12736,Extra Preliminary Round,75769,2014,1
11742,Semi-Final,71326,1973,12
11743,Sixth Round Proper,71326,1973,11
11733,Fifth Round Proper,71326,1973,10
11738,Fourth Round Proper,71326,1973,9
11745,Third Round Proper,71326,1973,8
11741,Second Round Proper,71326,1973,7
11736,First Round Proper,71326,1973,6
11737,Fourth Qualifying Round,71326,1973,5
11744,Third Qualifying Round,71326,1973,4
11740,Second Qualifying Round,71326,1973,3
11735,First Qualifying Round,71326,1973,2
11739,Preliminary Round,71326,1973,1
11419,Semi-Final,71301,1948,13
11420,Sixth Round Proper,71301,1948,12
11410,Fifth Round Proper,71301,1948,11
11415,Fourth Round Proper,71301,1948,10
11422,Third Round Proper,71301,1948,9
11418,Second Round Proper,71301,1948,8
11413,First Round Proper,71301,1948,7
11414,Fourth Qualifying Round,71301,1948,6
11421,Third Qualifying Round,71301,1948,5
11417,Second Qualifying Round,71301,1948,4
11412,First Qualifying Round,71301,1948,3
11416,Preliminary Round,71301,1948,2
11409,Extra Preliminary Round,71301,1948,1
10796,Semi-Final,71251,1889,8
10798,Third Round Proper,71251,1889,7
10795,Second Round Proper,71251,1889,6
10792,First Round Proper,71251,1889,5
10793,Fourth Qualifying Round,71251,1889,4
10797,Third Qualifying Round,71251,1889,3
10794,Second Qualifying Round,71251,1889,2
10791,First Qualifying Round,71251,1889,1
10700,Final,71238,1876,5
10703,Semi-Final,71238,1876,4
10704,Third Round Proper,71238,1876,3
10702,Second Round Proper,71238,1876,2
10701,First Round Proper,71238,1876,1
10153,Semi-Final,71054,2006,13
10152,Sixth Round Proper,71054,2006,12
10151,Fifth Round Proper,71054,2006,11
10150,Fourth Round Proper,71054,2006,10
10149,Third Round Proper,71054,2006,9
10148,Second Round Proper,71054,2006,8
10147,First Round Proper,71054,2006,7
10146,Fourth Qualifying Round,71054,2006,6
10145,Third Qualifying Round,71054,2006,5
10144,Second Qualifying Round,71054,2006,4
10143,First Qualifying Round,71054,2006,3
10142,Preliminary Round,71054,2006,2
10141,Extra Preliminary Round,71054,2006,1
11794,Semi-Final,71330,1977,12
11795,Sixth Round Proper,71330,1977,11
11785,Fifth Round Proper,71330,1977,10
11790,Fourth Round Proper,71330,1977,9
11797,Third Round Proper,71330,1977,8
11793,Second Round Proper,71330,1977,7
11788,First Round Proper,71330,1977,6
11789,Fourth Qualifying Round,71330,1977,5
11796,Third Qualifying Round,71330,1977,4
11792,Second Qualifying Round,71330,1977,3
11787,First Qualifying Round,71330,1977,2
11791,Preliminary Round,71330,1977,1
11838,Final,71334,1981,13
11846,Semi-Final,71334,1981,12
11847,Sixth Round Proper,71334,1981,11
11837,Fifth Round Proper,71334,1981,10
11842,Fourth Round Proper,71334,1981,9
11849,Third Round Proper,71334,1981,8
11845,Second Round Proper,71334,1981,7
11840,First Round Proper,71334,1981,6
11841,Fourth Qualifying Round,71334,1981,5
11848,Third Qualifying Round,71334,1981,4
11844,Second Qualifying Round,71334,1981,3
11839,First Qualifying Round,71334,1981,2
11843,Preliminary Round,71334,1981,1
11833,Semi-Final,71333,1980,12
11834,Sixth Round Proper,71333,1980,11
11824,Fifth Round Proper,71333,1980,10
11829,Fourth Round Proper,71333,1980,9
11836,Third Round Proper,71333,1980,8
11832,Second Round Proper,71333,1980,7
11827,First Round Proper,71333,1980,6
11828,Fourth Qualifying Round,71333,1980,5
11835,Third Qualifying Round,71333,1980,4
11831,Second Qualifying Round,71333,1980,3
11826,First Qualifying Round,71333,1980,2
11830,Preliminary Round,71333,1980,1
11885,Semi-Final,71337,1984,12
11886,Sixth Round Proper,71337,1984,11
11876,Fifth Round Proper,71337,1984,10
11881,Fourth Round Proper,71337,1984,9
11888,Third Round Proper,71337,1984,8
11884,Second Round Proper,71337,1984,7
11879,First Round Proper,71337,1984,6
11880,Fourth Qualifying Round,71337,1984,5
11887,Third Qualifying Round,71337,1984,4
11883,Second Qualifying Round,71337,1984,3
11878,First Qualifying Round,71337,1984,2
11882,Preliminary Round,71337,1984,1
11898,Semi-Final,71338,1985,12
11899,Sixth Round Proper,71338,1985,11
11889,Fifth Round Proper,71338,1985,10
11894,Fourth Round Proper,71338,1985,9
11901,Third Round Proper,71338,1985,8
11897,Second Round Proper,71338,1985,7
11892,First Round Proper,71338,1985,6
11893,Fourth Qualifying Round,71338,1985,5
11900,Third Qualifying Round,71338,1985,4
11896,Second Qualifying Round,71338,1985,3
11891,First Qualifying Round,71338,1985,2
11895,Preliminary Round,71338,1985,1
11864,Final,71336,1983,13
11872,Semi-Final,71336,1983,12
11873,Sixth Round Proper,71336,1983,11
11863,Fifth Round Proper,71336,1983,10
11868,Fourth Round Proper,71336,1983,9
11875,Third Round Proper,71336,1983,8
11871,Second Round Proper,71336,1983,7
11866,First Round Proper,71336,1983,6
11867,Fourth Qualifying Round,71336,1983,5
11874,Third Qualifying Round,71336,1983,4
11870,Second Qualifying Round,71336,1983,3
11865,First Qualifying Round,71336,1983,2
11869,Preliminary Round,71336,1983,1
11820,Semi-Final,71332,1979,12
11821,Sixth Round Proper,71332,1979,11
11811,Fifth Round Proper,71332,1979,10
11816,Fourth Round Proper,71332,1979,9
11823,Third Round Proper,71332,1979,8
11819,Second Round Proper,71332,1979,7
11814,First Round Proper,71332,1979,6
