year,pos,league,team,round,stage
1960,15,WESTERN LEAGUE - DIVISION 1,BARNSTAPLE TOWN,FIRST ROUND PROPER,8.0
1961,1,ATHENIAN LEAGUE,HENDON,FIRST ROUND PROPER,8.0
1961,4,ATHENIAN LEAGUE,SUTTON UNITED,FIRST ROUND PROPER,8.0
1961,5,ATHENIAN LEAGUE,HITCHIN TOWN,FIRST ROUND PROPER,8.0
1961,2,CENTRAL ALLIANCE - DIVISION 1 SOUTH,LOUGHBOROUGH UNITED,FIRST ROUND PROPER,8.0
1961,1,CHESHIRE COUNTY LEAGUE,MACCLESFIELD TOWN,FIRST ROUND PROPER,8.0
1961,6,CHESHIRE COUNTY LEAGUE,BANGOR CITY,FIRST ROUND PROPER,8.0
1961,18,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1961,1,CORINTHIAN LEAGUE,MAIDENHEAD UNITED,FIRST ROUND PROPER,8.0
1961,2,ISTHMIAN LEAGUE - SENIOR SECTION,WALTHAMSTOW AVENUE,FIRST ROUND PROPER,8.0
1961,8,ISTHMIAN LEAGUE - SENIOR SECTION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1961,2,NORTHERN LEAGUE,BISHOP AUCKLAND,FIRST ROUND PROPER,8.0
1961,4,SOUTHERN LEAGUE - PREMIER DIVISION,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1961,12,SOUTHERN LEAGUE - PREMIER DIVISION,WORCESTER CITY,FIRST ROUND PROPER,8.0
1961,1,SOUTHERN LEAGUE - FIRST DIVISION,KETTERING TOWN,FIRST ROUND PROPER,8.0
1961,14,SOUTHERN LEAGUE - FIRST DIVISION,ASHFORD TOWN,FIRST ROUND PROPER,8.0
1961,16,SOUTHERN LEAGUE - FIRST DIVISION,DOVER,FIRST ROUND PROPER,8.0
1961,5,WESTERN LEAGUE,BRIDGWATER TOWN,FIRST ROUND PROPER,8.0
1961,10,YORKSHIRE LEAGUE - FIRST DIVISION,BRIDLINGTON TOWN,FIRST ROUND PROPER,8.0
1962,2,ATHENIAN LEAGUE,BARNET,FIRST ROUND PROPER,8.0
1962,2,BIRMINGHAM AND DISTRICT LEAGUE,BRIERLEY HILL ALLIANCE,FIRST ROUND PROPER,8.0
1962,10,BIRMINGHAM AND DISTRICT LEAGUE,BANBURY SPENCER,FIRST ROUND PROPER,8.0
1962,4,CHESHIRE COUNTY LEAGUE,NORTHWICH VICTORIA,FIRST ROUND PROPER,8.0
1962,14,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1962,8,EASTERN COUNTIES LEAGUE,HARWICH & PARKESTON,FIRST ROUND PROPER,8.0
1962,3,ISTHMIAN LEAGUE - SENIOR SECTION,WALTHAMSTOW AVENUE,FIRST ROUND PROPER,8.0
1962,7,ISTHMIAN LEAGUE - SENIOR SECTION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1962,1,LANCASHIRE COMBINATION - DIVISION 1,MORECAMBE,FIRST ROUND PROPER,8.0
1962,3,MIDLAND COUNTIES LEAGUE,WORKSOP TOWN,FIRST ROUND PROPER,8.0
1962,8,MIDLAND COUNTIES LEAGUE,GRANTHAM TOWN,FIRST ROUND PROPER,8.0
1962,3,NORTHERN LEAGUE,WEST AUCKLAND TOWN,FIRST ROUND PROPER,8.0
1962,12,NORTHERN LEAGUE,SHILDON,FIRST ROUND PROPER,8.0
1962,7,SOUTHERN LEAGUE - PREMIER DIVISION,KETTERING TOWN,FIRST ROUND PROPER,8.0
1962,8,SOUTHERN LEAGUE - PREMIER DIVISION,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1962,5,SOUTHERN LEAGUE - FIRST DIVISION,MARGATE,FIRST ROUND PROPER,8.0
1962,10,SOUTHERN LEAGUE - FIRST DIVISION,BARRY TOWN,FIRST ROUND PROPER,8.0
1962,11,SOUTHERN LEAGUE - FIRST DIVISION,ASHFORD TOWN,FIRST ROUND PROPER,8.0
1962,15,SOUTHERN LEAGUE - FIRST DIVISION,TUNBRIDGE WELLS UNITED,FIRST ROUND PROPER,8.0
1962,7,WESTERN LEAGUE,BRIDGWATER TOWN,FIRST ROUND PROPER,8.0
1962,11,WESTERN LEAGUE,WESTON-SUPER-MARE,FIRST ROUND PROPER,8.0
1963,1,ATHENIAN LEAGUE,ENFIELD,FIRST ROUND PROPER,8.0
1963,10,ATHENIAN LEAGUE,HOUNSLOW TOWN,FIRST ROUND PROPER,8.0
1963,17,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1963,7,CORINTHIAN LEAGUE,MAIDENHEAD UNITED,FIRST ROUND PROPER,8.0
1963,1,ISTHMIAN LEAGUE - SENIOR SECTION,WIMBLEDON,FIRST ROUND PROPER,8.0
1963,9,ISTHMIAN LEAGUE - SENIOR SECTION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1963,1,LANCASHIRE COMBINATION - DIVISION 1,MORECAMBE,FIRST ROUND PROPER,8.0
1963,2,NORTH EASTERN LEAGUE CUP,SOUTH SHIELDS,FIRST ROUND PROPER,8.0
1963,3,NORTH EASTERN LEAGUE CUP,NORTH SHIELDS,FIRST ROUND PROPER,8.0
1963,4,NORTH EASTERN LEAGUE CUP,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1963,1,NORTHERN LEAGUE,CROOK TOWN,FIRST ROUND PROPER,8.0
1963,2,SOUTHERN LEAGUE - PREMIER DIVISION,CAMBRIDGE UNITED,FIRST ROUND PROPER,8.0
1963,6,SOUTHERN LEAGUE - PREMIER DIVISION,WELLINGTON,FIRST ROUND PROPER,8.0
1963,14,SOUTHERN LEAGUE - PREMIER DIVISION,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1963,1,SOUTHERN LEAGUE - FIRST DIVISION,MARGATE,FIRST ROUND PROPER,8.0
