year,league,tier
1991,NORTHERN PREMIER LEAGUE DIVISION ONE,7
1991,SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,7
1991,SUSSEX COUNTIES LEAUGE DIVISION ONE,8
1991,WESTERN LEAGUE PREMIER DIVISION,8
1992,CENTRAL MIDLANDS LEAGUE SUPREME DIVISION,8
1992,ISTHMIAN LEAGUE DIVISION ONE,7
1992,NORTHERN LEAGUE DIVISION ONE,8
1992,NORTHERN PREMIER LEAGUE DIVISION ONE,7
1992,WESTERN LEAGUE PREMIER DIVISION,8
1993,ISTHMIAN LEAGUE DIVISION ONE,7
1993,NORTHERN LEAGUE DIVISION ONE,8
1993,SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,7
1993,SOUTHERN FOOTBALL LEAGUE SOUTHERN DIVISION,7
1993,SOUTHERN MIDLAND DIVISION,7
1994,ISTHMIAN LEAGUE DIVISION TWO,8
1994,NORTHERN PREMIER LEAGUE DIVISION ONE,7
1994,SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,7
1994,SOUTHERN LEAGUE SOUTHERN DIVISION,7
1994,SOUTHERN PREMIER DIVISION,6
1995,ISTHMIAN LEAGUE DIVISION ONE,7
1995,SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,7
1995,SOUTHERN FOOTBALL LEAGUE SOUTHERN DIVISION,7
1995,WESTERN LEAGUE PREMIER DIVISION,8
1996,EASTERN COUNTIES PREMIER DIVISION,8
1996,ISTHMIAN LEAGUE DIVISION ONE,7
1996,ISTHMIAN LEAGUE DIVISION TWO,8
1996,SOUTHERN FOOTBALL LEAGUE SOUTHERN DIVISION,7
1996,SOUTHERN MIDLAND DIVISION,7
1996,SOUTHERN PREMIER DIVISION,6
1997,EASTERN COUNTIES PREMIER DIVISION,8
1997,NORTH WEST COUNTIES LEAGUE DIVISION ONE,8
1997,NORTHERN DIVISION ONE,8
1997,NORTHERN LEAGUE DIVISION ONE,8
1997,SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,7
1997,SOUTHERN PREMIER DIVISION,6
1998,ISTHMIAN LEAGUE DIVISION ONE,7
1998,NORTHERN PREMIER LEAGUE DIVISION ONE,7
1998,SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,7
