year,pos,league,team,round,stage
1962,3.0,MIDLAND COUNTIES LEAGUE,WORKSOP TOWN,FIRST ROUND PROPER,8.0
1962,8.0,MIDLAND COUNTIES LEAGUE,GRANTHAM TOWN,FIRST ROUND PROPER,8.0
1962,3.0,NORTHERN LEAGUE,WEST AUCKLAND TOWN,FIRST ROUND PROPER,8.0
1962,12.0,NORTHERN LEAGUE,SHILDON,FIRST ROUND PROPER,8.0
1962,7.0,SOUTHERN LEAGUE - PREMIER DIVISION,KETTERING TOWN,FIRST ROUND PROPER,8.0
1962,8.0,SOUTHERN LEAGUE - PREMIER DIVISION,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1962,5.0,SOUTHERN LEAGUE - FIRST DIVISION,MARGATE,FIRST ROUND PROPER,8.0
1962,10.0,SOUTHERN LEAGUE - FIRST DIVISION,BARRY TOWN,FIRST ROUND PROPER,8.0
1962,11.0,SOUTHERN LEAGUE - FIRST DIVISION,ASHFORD TOWN,FIRST ROUND PROPER,8.0
1962,15.0,SOUTHERN LEAGUE - FIRST DIVISION,TUNBRIDGE WELLS UNITED,FIRST ROUND PROPER,8.0
1962,7.0,WESTERN LEAGUE,BRIDGWATER TOWN,FIRST ROUND PROPER,8.0
1962,11.0,WESTERN LEAGUE,WESTON-SUPER-MARE,FIRST ROUND PROPER,8.0
1963,1.0,ATHENIAN LEAGUE,ENFIELD,FIRST ROUND PROPER,8.0
1963,10.0,ATHENIAN LEAGUE,HOUNSLOW TOWN,FIRST ROUND PROPER,8.0
1963,17.0,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1963,7.0,CORINTHIAN LEAGUE,MAIDENHEAD UNITED,FIRST ROUND PROPER,8.0
